x,y,z
-7.816821562417317,-0.5967097686393785,-46.03321776384479
-8.176452624066163,-0.5967097701262318,-46.44077048287727
-8.176452623935049,-0.18182710869587027,-46.03321776530662
-8.176452623700637,-0.16372255174792372,-45.03321776537406
-7.806261049641762,-0.5967097649150119,-45.03321776384725
-8.176452623624176,-0.5967097630544487,-44.54245219216682
-7.7433957926987205,-1.5967097686457876,-46.033217760136594
-8.176452624172843,-1.5967097704361137,-46.52395329088904
-7.683391081314767,-1.5967097649257411,-45.03321776015057
-8.176452623549268,-1.0967364640382584,-44.033217761898314
-7.796927438961575,-1.5967097611905388,-44.03321776012413
-8.176452623476507,-1.596709759294754,-43.53321776003577
-7.743213640991598,-2.596709768645809,-46.03321775641135
-8.176452624260197,-2.596709770436803,-46.52413829998113
-7.67663429887034,-2.596709764926331,-45.03321775642685
-7.6832218039780855,-2.596709761200465,-44.033217756425316
-8.176452623403748,-2.0967097574321087,-43.03321775817312
-7.796927438816056,-2.5967097574652485,-43.03321775639884
-8.176452623330993,-2.596709755569556,-42.533242551842704
-7.744317995937308,-3.5967097686457095,-46.0332177526858
-8.176452624345652,-3.5967097704071023,-46.516165578970686
-7.676620470680064,-3.596709764926331,-45.03321775270156
-7.676484571857145,-3.596709761201055,-44.033217752701596
-7.683238016295945,-3.5967097574751747,-43.033217752700025
-8.176452623259017,-3.1057505862263497,-42.03321775441415
-7.806066499644658,-3.5967097537391552,-42.033217752671426
-8.176452623201017,-3.5967097520929485,-41.59999784291722
-7.815987097739708,-4.59670976863945,-46.03321774894383
-8.176452624405647,-4.596709769970019,-46.398837885120884
-7.683256613498088,-4.596709764925748,-45.03321774897473
-7.6764845719444565,-4.596709761201055,-44.033217748976305
-7.676618562953081,-4.59670975747575,-43.03321774897627
-7.743331895850133,-4.5967097537446335,-42.03321774896074
-8.176452623272816,-4.596709751844742,-41.53337033675052
-8.176452624360769,-5.057704489066964,-46.03321774714256
-7.798086630675243,-5.5967097649157225,-45.0332177452227
-8.176452624286616,-5.596709766668575,-45.512612181017175
-7.683223711588653,-5.596709761200465,-44.033217745249445
-7.676634298666613,-5.59670975747575,-43.03321774525098
-7.743188844789984,-5.596709753744648,-42.03321774523548
-8.176452623360092,-5.596709751844173,-41.53321774513461
-8.176452624217685,-6.085597551747924,-45.03321774331336
-7.796954142278992,-6.596709761190532,-44.03321774149768
-8.176452624143588,-6.596709762983124,-44.523306681076065
-7.683391081285663,-6.5967097574751605,-43.03321774152412
-7.743370996671729,-6.5967097537446335,-42.03321774151015
-8.176452623447448,-6.59670975184487,-41.53340561524965
-8.176452624073022,-7.095416578784352,-44.03321773955149
-7.80626391081023,-7.596709757464431,-43.033217737770215
-8.176452623997935,-7.596709759255717,-43.522738764295354
-7.815598474786384,-7.596709753738324,-42.03321773776804
-8.176452623552445,-7.5967097521278575,-41.609368631849065
-8.176452623921685,-8.028769999131327,-43.03321773607448
-8.176452623688055,-8.0196299807576,-42.033217736108526
-8.915079103899188,1.4032902314565092,-46.033217771039666
-9.17645262385657,1.4032902305206179,-46.29057012312114
-9.176452623774185,1.6605667665135115,-46.03321777193724
-9.176452623526984,1.825167142553255,-45.03321777255042
